LOCATION,Pays_code_iso3,NUTOVERWEIGHTPREV,GHED_GGHE_DGGE_SHA2011,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,SDGPM25,SDGODAWS,WSH_WATER_SAFELY_MANAGED,PHE_HHAIR_PROP_POP_CLEAN_FUELS,SDGIPV12M,VIOLENCE_HOMICIDERATE,NUTRITION_WH_2,NUTSTUNTINGPREV,WSH_HYGIENE_BASIC,SDGIPVLT,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_SANITATION_SAFELY_MANAGED
Grenada,GRD,,6.28,20.9,10.22,1.0,,84.2,8,5.0,,,,28,,
Guatemala,GTM,3.7,16.89,10.5,21.78,17.2,56,46.5,7,26.2,0.8,44.6,,21,,
Guinea,GIN,4.4,5.02,45.7,42.38,31.6,,1.0,21,8.5,6.4,26.6,21,37,,
Guinea-Bissau,GNB,3.6,5.16,45.7,40.06,8.1,24,0.8,,8.6,7.8,28.3,20,,20.0,15
Guyana,GUY,5.0,10.49,37.5,11.70,0.1,,100.0,10,13.9,6.5,7.1,83,31,33.4,44
Haiti,HTI,3.9,4.11,45.9,9.78,41.5,,4.5,12,20.9,5.0,21.6,23,23,,
Honduras,HND,4.2,14.16,18.8,19.42,30.3,65,50.3,7,75.2,1.9,17.9,85,17,,53
Hungary,HUN,,9.91,24.1,14.83,,100,100.0,6,1.4,,,,19,72.2,88
Iceland,ISL,,16.54,14.7,6.20,,100,100.0,3,1.1,,,,21,1.6,
India,IND,3.7,4.46,53.7,53.03,360.6,,76.7,18,3.6,18.7,32.9,76,35,28.8,52
Indonesia,IDN,2.6,8.03,26.7,19.93,266.2,30,90.6,9,4.1,8.4,22.6,79,22,,
Iran (Islamic Republic of),,2.7,19.03,25.5,34.11,0.7,94,95.7,18,2.9,4.3,4.8,,31,26.4,
Iraq,IRQ,4.6,5.84,27.1,42.96,61.5,60,99.5,,12.6,3.0,9.4,97,26,41.8,53
Ireland,IRL,11.2,22.33,14.0,8.68,,96,100.0,3,0.8,,2.2,,16,50.8,80
Israel,ISR,,13.01,14.6,19.65,,99,100.0,6,1.0,,,,,95.0,96
Italy,ITA,,11.85,16.4,14.73,,93,100.0,4,0.6,,,,16,70.7,79
Jamaica,JAM,5.1,18.96,21.5,15.79,0.8,,93.0,7,51.9,3.2,6.9,,24,,
Japan,JPN,2.0,23.42,18.7,11.10,,99,100.0,4,0.2,,5.2,,20,98.6,99
Jordan,JOR,10.6,7.64,33.0,25.76,327.7,86,99.4,13,2.3,2.3,7.7,,24,77.4,82
Kazakhstan,KAZ,8.7,10.6,30.5,35.44,0.3,,94.2,6,4.4,3.1,4.4,,16,30.3,
Kenya,KEN,4.3,8.65,32.2,12.33,153.6,,31.6,23,5.8,4.5,17.9,38,38,11.2,31
Kiribati,KIR,2.1,9.71,26.9,7.98,5.8,14,16.4,25,4.5,3.5,14.7,56,53,32.9,25
Kuwait,KWT,10.1,9.4,27.7,67.22,,100,100.0,,1.7,3.5,4.5,,,100.0,100
Kyrgyzstan,KGZ,9.9,7.55,32.9,39.65,28.9,76,79.6,13,4.7,3.0,11.0,100,23,21.9,93
Lao People's Democratic Republic,LAO,3.7,4.25,28.6,24.19,63.0,18,11.1,8,6.4,10.7,29.9,,19,10.3,61
Latvia,LVA,6.6,12.06,21.4,14.13,,97,100.0,6,4.5,1.7,1.7,,25,96.5,
Lebanon,LBN,4.5,15.5,34.0,24.36,116.5,48,0.0,,5.3,1.3,10.1,,,,26
Lesotho,LSO,7.5,13.12,34.2,18.55,14.1,28,53.8,16,38.9,1.6,35.0,6,40,3.0,48
Liberia,LBR,6.1,4.79,42.5,40.53,21.3,,0.8,27,9.4,3.4,26.9,3,43,,
Libya,LBY,4.7,5.06,29.3,28.26,5.6,,0.0,,2.1,3.5,9.2,,,,24
Lithuania,LTU,4.6,13.03,23.7,11.67,,95,100.0,5,4.2,4.9,1.6,,22,95.8,95
Luxembourg,LUX,,11.02,15.4,9.11,,100,100.0,4,0.5,,,,20,98.8,96
Madagascar,MDG,2.3,5.74,37.2,18.43,37.7,22,1.6,,6.1,7.2,38.4,23,,10.9,12
Malawi,MWI,4.4,3.29,32.4,20.18,135.3,18,1.5,17,1.9,2.6,33.2,15,30,6.4,46
Malaysia,MYS,5.3,8.01,31.3,23.74,1.8,94,83.8,,2.6,11.0,24.3,,19,90.6,86
Maldives,MDV,3.0,18.17,43.4,12.69,10.1,,99.8,6,2.1,9.1,14.2,,19,,
Mali,MLI,1.3,5.69,56.5,45.06,77.5,,1.3,18,10.0,5.4,23.2,17,29,6.3,16
Malta,MLT,10.1,16.21,15.7,12.94,,100,100.0,4,0.9,0.4,3.5,,17,7.0,88
Marshall Islands,MHL,4.6,6.65,23.5,7.55,8.0,,64.8,19,,3.5,30.0,,38,,
Mauritania,MRT,1.6,6.28,54.5,51.29,57.3,,49.4,,10.6,13.6,21.5,42,,,
Mauritius,MUS,4.8,9.39,32.8,10.48,66.2,,99.1,,2.2,,7.8,,,26.9,
Mexico,MEX,7.4,10.39,13.2,18.43,60.4,43,85.1,10,28.2,1.0,13.1,94,24,64.1,63
Micronesia (Federated States of),,,1.89,22.1,8.13,0.2,,13.3,21,4.8,,,,35,,
Monaco,MCO,,12.04,15.9,9.21,,100,100.0,,,,,,,93.9,100
Mongolia,MNG,12.3,9.25,19.1,50.62,64.6,39,55.8,12,5.3,2.7,7.1,86,27,53.2,66
Montenegro,MNE,8.6,16.25,25.8,17.93,11.9,85,61.4,4,2.6,2.2,8.0,99,16,31.1,57
Morocco,MAR,4.2,6.82,29.5,13.73,141.1,75,98.1,10,1.5,2.4,13.7,,,75.3,61
Mozambique,MOZ,4.4,8.04,47.0,17.51,150.3,,7.4,16,3.3,3.8,37.0,,30,21.7,
Myanmar,MMR,0.6,2.55,39.7,27.75,30.4,57,53.5,11,3.9,7.4,24.5,75,19,15.2,61
Namibia,NAM,5.8,11.74,24.9,13.13,5.5,,48.0,16,17.9,,16.4,,27,,
Nauru,NRU,8.2,11.83,22.5,7.40,0.0,,100.0,20,,1.3,16.0,,43,35.5,
Nepal,NPL,1.8,8.01,33.2,36.92,106.0,16,42.7,11,2.3,7.0,26.0,64,27,29.6,51
Netherlands (Kingdom of the),,5.4,15.92,16.5,10.88,,100,100.0,5,0.6,,1.6,,21,99.8,97
New Zealand,NZL,,19.75,12.4,8.69,,100,100.0,4,1.2,,,,23,84.5,89
Nicaragua,NIC,,17.83,,16.73,78.9,,59.6,6,9.2,,,,23,29.3,
Niger,NER,2.6,7.11,47.1,55.52,66.6,,5.1,13,9.4,10.9,48.3,25,,6.8,8
Nigeria,NGA,1.6,4.31,37.9,55.33,130.4,29,26.2,13,8.8,11.6,33.8,31,24,40.7,32
Niue,NIU,,6.95,24.0,6.74,,94,98.5,,,,,,,,
North Macedonia,MKD,12.3,12.36,21.5,28.67,14.1,80,81.3,4,1.1,3.4,3.8,100,13,4.9,12
Norway,NOR,,17.75,16.3,7.19,,99,100.0,4,0.6,,,,20,74.0,78
"occupied Palestinian territory, including east Jerusalem",,8.8,13.48,24.8,31.34,144.1,80,,,6.8,1.3,8.0,95,,71.5,70
Oman,OMN,8.8,8.31,34.4,35.76,,91,100.0,,0.8,9.3,12.9,,,,
Pakistan,PAK,2.1,5.55,46.5,51.59,426.7,51,54.9,16,6.6,7.1,33.6,85,29,,
Palau,PLW,,9.51,25.9,7.92,0.4,90,100.0,14,,,,,31,,
Panama,PAN,10.9,22.23,25.5,11.89,0.4,,100.0,8,20.3,1.1,14.0,,16,,
Papua New Guinea,PNG,18.5,6.99,28.8,9.51,23.5,,10.5,31,10.4,,47.6,30,51,7.3,
Paraguay,PRY,15.4,17.45,23.2,13.23,14.3,64,71.3,6,7.6,1.0,3.2,,18,27.4,55
Peru,PER,9.0,16.7,21.0,31.74,28.5,52,91.8,11,6.2,0.6,10.6,,38,52.4,58
Philippines,PHL,3.3,8.98,12.0,24.20,110.7,48,59.5,6,12.7,5.4,27.7,82,14,68.0,63
Poland,POL,8.6,10.71,23.4,19.90,,89,100.0,3,0.7,0.8,1.0,,13,79.3,98
Portugal,PRT,9.4,14.81,15.0,7.63,,95,100.0,4,0.8,1.1,3.2,,18,85.3,93
Puerto Rico,PRI,,,,,,,,,23.3,,,,,32.5,
Qatar,QAT,8.6,7.39,23.6,59.96,,97,100.0,,0.5,1.6,5.4,,,99.9,100
Republic of Korea,,5.5,14.08,15.7,24.38,,99,100.0,8,0.7,0.2,1.8,,,99.4,99
Republic of Moldova,MDA,4.1,12.35,28.5,12.74,21.1,75,98.3,9,4.6,,4.2,,27,41.4,
Romania,ROU,4.8,11.16,24.3,14.11,,82,100.0,7,1.1,,7.0,,18,30.7,88
Russian Federation,RUS,9.5,13.76,24.1,9.86,,76,100.0,,6.7,,,,,21.4,61
Rwanda,RWA,5.1,9.47,16.1,35.72,86.0,,9.3,23,4.1,1.1,29.8,18,38,,
Saint Kitts and Nevis,KNA,,5.91,19.4,7.62,,,100.0,,,,,,,,
Saint Lucia,LCA,6.8,9,19.9,8.94,0.6,,92.1,,20.1,,2.8,,,,
Saint Vincent and the Grenadines,VCT,,8.63,18.8,9.51,0.5,,89.5,,34.6,,,,,,
