LOCATION,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Comoros,0.38,16.44,4.24,74.4,6.0,,,,17.2,1.2,1.4,59.0,59.1,58.9,0.48,17.2,97,75,35,43.8,<0.01,24.75,20.2,0.4,39.8,79,168,22.5,48,50,,179,29.0,277 694,67.5,68.7,66.3,13.21,,,,,,
Congo,0.02,11.21,1.73,,6.7,,,,,2.6,0.6,54.8,54.4,55.3,0.05,15.4,,78,368,26.4,1.7,214.78,21.2,6.4,40.5,34,173,17.7,41,34,76,241,8.4,1 543 031,63.2,63.8,62.5,4.54,,,,,,0
Cook Islands,3.73,76.92,16.67,31.0,,0.12,0,,,0.1,,,,,,27.0,,86,32,,No data,,,,13.6,77,,7.2,46,70,77,0,17.6,0,,,,0,50,,,,,
Costa Rica,10.89,30.71,26.87,24.8,8.1,7.41,1.13,1.1,80.8,0.0,0.1,67.6,69.1,66.3,12.09,8.9,99,99,9.9,2.9,0.17,0.30,9.9,3.8,10.5,83,18,7.2,≥80 ,66,99,24,15.5,31 336,78.6,81.5,75.9,0.34,66,,,,,
Côte d'Ivoire,0.14,7.93,1.66,,7.4,8.33,0.56,2.0,52,3.4,1.0,55.4,56.4,54.6,0.39,8.8,84,79,119,47,0.35,251.43,22.7,4.5,67.1,43,192,28.2,43,47,79,359,20.6,20 569 107,63.5,66.0,61.4,6.09,73,,,,,
Croatia,9.46,79.99,39.09,6.7,15.7,,,0.0,,0.1,0.3,66.8,68.5,65.1,8.78,37.0,100,93,3.5,2.7,<0.1,,15.9,10.8,4.6,90,31,2.8,≥80 ,75,90,3,8.1,8,76.9,80.0,73.8,,55,,53.8,16.4,23.5,
Cuba,18.42,76.03,95.42,48.6,13.8,,,1.3,86.9,0.0,0.1,64.6,66.0,63.4,,17.4,100,99,7.9,9.7,0.18,,17.6,5.6,8.3,99,41,4.2,≥80 ,90,,35,5.4,124,73.7,76.5,71.1,0.43,,,,,,
Cyprus,8.19,38.94,35.56,7.9,3.0,14.74,1.59,0.0,,0.3,0.3,70.7,71.1,70.3,7.27,35.6,100,95,5.5,1.6,No data,,8.5,5.2,3.5,80,16,1.9,≥80 ,61,74,14,3.9,2,81.9,84.0,79.9,,92,,55.9,40.5,,
Czechia,7.39,95.3,43.52,7.2,13.3,4.64,0.83,0.1,,0.1,0.6,66.7,68.3,65.0,7.18,29.9,100,94,4.8,4.1,<0.1,,14.2,13.7,2.6,90,33,1.3,≥80 ,77,,3,5.2,13,77.1,80.3,74.0,,72,,7.6,14.4,14.8,
Democratic People's Republic of Korea,2.17,43.82,36.28,,9.3,,,,89.6,0.2,1.3,64.7,66.4,63.2,3.91,16.5,100,16,513,4.1,No data,0.31,23.7,4.8,18.0,16,213,9.6,68,59,,67,,5 301 031,72.6,75.6,69.8,0.2,,,,,,
Democratic Republic of the Congo,0.04,11.68,2.08,109.0,8.8,,,3.4,33,3.3,1.3,53.2,54.3,52.2,0.09,12.2,85,60,316,52.3,0.17,313.27,25.1,2.0,73.2,18,212,25.3,42,37,59,427,16.3,56 981 384,61.6,63.9,59.4,6.52,,,88.5,72.5,,
Denmark,7.18,121.86,44.98,1.2,10.5,,,0,,0.7,0.0,70.1,70.4,69.7,5.81,16.2,96,97,3.6,4.1,<0.01,,10.7,10.0,3.4,93,13,1.8,≥80 ,97,97,4,2.3,0,81.2,82.9,79.5,,80,,1.9,7.3,,
Djibouti,,1.94,2.11,,8.0,1.47,0.26,,,0.3,1.5,57.0,57.7,56.3,,,,72,218,37.6,0.29,45.04,20.6,0.4,50.4,64,181,28.2,44,30,72,162,23.3,110 561,64.9,66.7,63.0,14.86,,,,,,
Dominica,1.17,67.6,11.58,,,,,,,0.2,,,,,,,100,56,16,,No data,,,7.0,35.5,87,,30.8,49,71,,36,11.0,419,,,,0.68,65,,,,,
Dominican Republic,2.69,20.6,24.26,77.1,4.2,8.17,0.94,3.6,77.4,0.1,0.3,63.6,65.5,61.8,0.19,10.5,99,90,42,5.8,0.36,0.04,17.4,5.2,31.4,70,42,21.7,77,60,86,124,27.4,2 677 790,73.3,76.8,70.2,0.35,66,,,,,
Ecuador,3,25.11,23.13,49.9,7.6,,,2.4,82.5,0.1,1.0,64.3,66.1,62.8,0.41,10.2,96,70,58,4.7,0.12,0.06,13.2,2.7,13.1,60,28,7.1,77,54,71,55,23.4,28 918,74.0,77.2,71.0,0.52,50,,,,,50
Egypt,1.87,17.94,6.71,37.1,0.6,31.14,6.1,,,0.2,0.2,60.4,61.1,59.7,4.26,24.7,97,96,9.2,4.8,<0.1,0,26.0,0.1,17.5,95,106,9.3,70,90,,17,9.4,2 978 436,69.1,71.7,66.7,0.24,,,69.4,87.5,,
El Salvador,1.57,21.79,16.16,50.2,7.6,4.06,1.38,2.1,73.1,0.0,0.8,62.2,65.5,58.7,1.59,8.9,98,96,84,6.1,0.13,0,12.6,3.4,10.4,71,40,4.4,78,91,99,39,21.5,1 475 552,71.7,76.2,66.8,2.62,36,,,,,
Equatorial Guinea,,13.75,1.53,,7.0,,,,,6.1,0.6,53.3,53.5,52.9,0.08,,,74,274,29.7,No data,228.82,20.3,6.1,70.6,28,168,27.2,46,49,,174,11.7,1 046 007,61.6,63.2,60.2,0.42,,,,,,
Eritrea,0.2,15.43,0.88,,13.2,,,,,1.0,2.1,55.4,57.2,53.7,0.67,,,95,65,66.5,<0.1,63.39,27.3,1.3,35.4,85,238,16.4,45,60,95,291,17.7,807 518,63.6,66.2,60.9,5.62,78,,,,,
Estonia,10.18,66.58,34.69,5.1,14.9,,,0.0,,0.3,1.4,66.7,69.2,64.1,7.13,28.3,99,90,8.2,2.6,<0.1,,15.5,10.5,2.1,84,13,1.0,79,73,,5,4.4,0,77.1,81.2,72.8,,52,,3.1,11.6,,
Eswatini,0.28,42.6,5.57,,27.2,5,1.29,,74.1,0.8,3.0,47.5,49.3,45.8,0.34,9.5,93,85,350,46.5,4.2,1.73,32.3,7.2,45.0,82,173,24.5,56,43,66,118,24.7,250 978,54.6,57.9,51.6,7,59,,36.4,,,
Ethiopia,0.28,12.22,1.43,72.4,6.1,3.48,0.57,0.5,60.6,1.6,1.2,58.8,59.6,58.0,1.47,5.2,50,72,146,40.7,<0.1,109.24,16.8,3.1,46.5,53,146,27.4,35,69,69,195,17.7,63 060 994,67.8,69.7,66.0,3.98,29,,61.8,81,,
Fiji,1.17,38.52,8.13,31.0,8.3,,,0.0,51.3,0.1,0.2,57.7,58.7,56.7,1.03,27.6,100,99,66,10.8,0.4,,37.9,3.5,29.1,83,121,14.9,58,55,99,30,5.3,523 954,65.5,67.7,63.5,10.79,68,,,,,
Finland,9.68,140.13,36.09,3.3,14.6,6.72,0.66,0,,0.8,0.4,69.9,71.0,68.8,20.28,22.3,100,91,3.4,0.8,No data,,9.6,9.5,2.3,92,7,1.3,≥80 ,85,87,8,4.2,0,81.5,84.1,79.0,,70,,1.6,6.7,,
France,6.94,94.22,32.81,3.5,16.6,,,,,0.2,0.3,70.1,71.0,69.1,9.34,34.6,98,96,8.3,3.4,<0.1,,10.2,11.2,4.3,93,10,2.7,≥80 ,88,96,7,4.7,145,81.9,84.7,79.1,,45,,11.2,9.1,,
Gabon,0.18,23.7,5.21,100.1,7.3,3.83,0.72,2.8,37.3,2.1,0.6,56.3,57.4,55.3,0.77,,95,70,505,17.5,0.79,229.32,18.1,7.9,33.2,,77,16.8,49,49,,233,12.5,978 475,65.1,67.9,62.7,6.1,,,,,,
Gambia,0.03,6.58,0.9,64.8,4.8,0.2,0.03,1.1,41.1,1.6,0.8,55.8,56.1,55.6,0.04,10.5,84,84,142,29.5,0.53,87.51,21.8,0.6,44.1,73,224,23.7,46,27,80,354,22.0,490 110,64.2,66.3,62.2,11.09,,,,,,
Georgia,7.74,59.67,56.42,21.8,5.1,31.41,8.86,0.1,51.3,0.1,1.1,62.5,65.3,59.6,0.92,31.8,100,88,55,3.3,0.14,,22.1,15.5,9.2,86,92,5.3,68,60,86,20,12.7,31,71.2,75.6,66.9,1.1,40,,28.3,46.5,,
Germany,8.48,122.49,45.34,5.9,12.9,,,0.1,,0.2,0.4,68.9,69.4,68.4,6.71,21.3,96,91,4.8,3.2,No data,,11.6,11.2,3.7,93,15,2.3,≥80 ,85,82,4,3.3,199,80.5,82.9,78.1,,54,,4.4,9.4,,
Ghana,0.07,41.1,2.66,63.0,5.3,1.33,0.11,2.0,49,2.1,0.9,57.9,58.9,56.9,1.73,3.4,88,95,129,25.2,0.56,193.90,22.2,4.4,37.1,78,191,21.2,48,52,96,234,25.9,9 918 507,66.1,68.6,63.7,6.11,,,67.9,90.4,,12.5
