LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Saint Kitts and Nevis,KNA,2.55,65.81,30.85,,,,,,,0.1,,,,,,,100.0,96.0,2.5,,No data,,,7.0,16.3,94.0,,10.3,79,68,,74.0,23.1,286,,,,,64.0,,,,,
Saint Lucia,LCA,1.76,53.43,42.34,23.9,5.3,6.17,1.77,0.8,,0.2,0.1,61.8,63.6,60.1,4.48,13.8,100.0,74.0,1.3,5.8,No data,,15.5,11.4,15.5,83.0,28.0,10.0,77,61,,44.0,8.9,75,71.1,74.5,68.0,16.48,81.0,,,,,
Saint Vincent and the Grenadines,VCT,,47.38,,37.9,0.4,,,1.8,,0.2,0.0,62.9,64.5,61.5,,,99.0,94.0,14.0,5.3,No data,,23.6,6.8,10.6,92.0,36.0,5.8,69,56,,56.0,4.8,759,72.6,75.5,70.0,2.88,,,,,,
Samoa,WSM,0.9,30.58,5.61,54.9,12.0,,,0.4,27.0,0.3,0.3,61.6,61.9,61.3,0.24,22.5,89.0,83.0,5.2,8.2,No data,,32.3,2.9,15.7,75.0,146.0,6.2,55,47,93.0,101.0,9.6,191 219,70.3,71.6,69.1,12.43,87.0,,,,,
San Marino,SMR,7.42,94.36,46.29,1.2,,,,,,0.1,,,,,10.98,,,91.0,0.0,,No data,,,,1.4,79.0,,0.6,77,29,83.0,8.0,5.9,0,,,,,52.0,,,,,
Sao Tome and Principe,STP,0.27,21.65,4.64,86.1,0.9,4.83,1.15,0.4,57.7,1.3,0.3,62.4,62.6,62.3,1.64,7.8,97.0,86.0,111.0,16.7,No data,10.17,19.5,5.7,13.9,90.0,226.0,6.8,59,47,86.0,75.0,11.7,101 989,71.2,72.8,69.6,16.71,80.0,,,,,
Saudi Arabia,SAU,7.81,65.57,34.06,8.3,0.9,1.31,0.58,,53.6,0.0,0.3,65.6,65.1,65.8,11.07,14.9,100.0,97.0,8.4,1.9,<0.1,0.0,13.6,,6.2,96.0,91.0,3.0,74,95,97.0,7.0,18.5,15 056,76.4,77.4,75.7,,39.0,,52.0,52.8,19.8,
Senegal,SEN,0.11,4.24,1.09,67.4,6.8,6.86,1.3,4.3,55.7,0.9,0.8,58.9,59.2,58.6,0.2,6.5,94.0,83.0,110.0,31.7,0.16,66.35,21.4,0.4,38.5,64.0,146.0,22.3,50,53,80.0,237.0,20.8,4 101 016,67.8,69.5,65.9,4.8,25.0,,,,,7.7
Serbia,SRB,2.47,66.89,30.99,13.9,15.1,8.53,0.58,0.2,38.4,0.0,0.3,63.9,65.4,62.4,1.55,39.5,100.0,93.0,14.0,3.9,<0.1,,20.7,9.0,5.2,91.0,72.0,3.2,72,73,82.0,11.0,7.4,0,72.8,75.6,70.0,4.45,2.0,,,,,
Seychelles,SYC,3.51,73.2,65.98,49.0,4.3,,,0.7,,0.1,0.3,64.7,65.2,64.3,4.22,20.2,100.0,97.0,21.0,8.4,No data,,15.6,11.4,14.3,89.0,43.0,8.5,75,68,97.0,42.0,6.6,0,74.0,75.6,72.6,,54.0,,,,,
Sierra Leone,SLE,0.02,11.63,1.34,101.9,6.1,16.4,3.04,3.9,53.0,2.0,1.2,53.1,53.0,53.2,0.11,12.9,87.0,91.0,283.0,69.5,0.39,293.11,23.9,0.3,94.3,73.0,242.0,29.3,41,55,93.0,354.0,13.8,7 398 716,61.0,61.9,60.2,7.14,39.0,,,,,
Singapore,SGP,4.61,65.59,28.34,1.9,8.1,,,0.0,,0.1,0.0,73.6,75.0,72.4,6.65,16.4,100.0,98.0,42.0,8.5,<0.1,,10.3,2.0,2.1,92.0,23.0,0.9,≥80 ,96,93.0,6.0,1.9,9939,83.9,86.3,81.6,,69.0,,31.2,25.5,,
Slovakia,SVK,5.43,60.14,36.97,24.8,9.9,2.65,0.04,0.3,,0.3,0.6,64.9,66.9,63.0,8.47,32.4,97.0,96.0,4.3,3.6,<0.1,,16.6,11.0,6.1,95.0,30.0,3.0,≥80 ,50,96.0,4.0,6.4,10,74.5,78.0,71.1,,10.0,,,,8.4,
Slovenia,SVN,7.43,105.63,33.67,3.3,18.9,3.69,0.31,0.0,,1.1,0.2,69.4,70.9,67.9,7.34,20.1,,89.0,4.6,1.9,No data,,11.6,10.9,2.2,89.0,19.0,1.3,≥80 ,81,58.0,3.0,5.8,16,80.4,83.4,77.5,,45.0,,,,,
Solomon Islands,SLB,0.51,20.01,2.38,49.1,19.6,,,,38.0,0.9,0.6,57.4,58.5,56.3,0.78,36.9,86.0,84.0,55.0,32.7,No data,237.04,40.6,0.8,20.6,48.0,282.0,8.3,47,50,81.0,123.0,11.2,722 398,64.8,67.3,62.6,12.33,69.0,,,,,
Somalia,SOM,,,,115.6,8.0,0.13,0.0,1.2,2.1,6.3,3.2,47.4,48.7,46.2,,,32.0,42.0,243.0,99.2,No data,58.89,27.6,0.0,104.0,13.0,248.0,34.9,27,33,,563.0,20.2,3 780 177,54.0,56.3,51.7,5.68,,,,,,
South Africa,ZAF,0.19,63.93,7.94,40.1,22.3,,,1.3,79.7,3.1,1.7,52.8,53.8,51.7,2.7,20.7,97.0,79.0,427.0,27.6,2.7,0.84,22.7,7.8,34.7,84.0,74.0,11.7,71,63,84.0,118.0,24.5,14 069 347,61.5,64.0,58.9,1.22,72.0,,16.5,30.0,,
South Sudan,SSD,0.03,6.91,0.41,,7.9,11.71,2.71,,,13.0,1.6,50.5,51.4,49.6,0.15,,40.0,73.0,227.0,68.1,0.56,253.16,22.4,0.8,98.7,,144.0,40.2,34,43,,692.0,23.3,9 622 332,58.6,60.6,56.5,8.03,,,,,,
Spain,ESP,6.03,64.06,42.94,4.6,8.7,7.87,1.12,0.1,,0.1,0.3,71.1,71.8,70.3,12.29,28.4,100.0,93.0,5.9,3.2,<0.1,,9.3,11.0,3.1,92.0,10.0,1.7,≥80 ,78,92.0,3.0,3.5,180,82.7,85.3,80.0,,75.0,,,,,
Sri Lanka,LKA,0.96,22.58,11.36,16.2,14.7,5.44,0.9,0.0,74.3,0.3,0.2,66.7,68.3,65.1,1.09,19.5,100.0,99.0,62.0,4.8,<0.01,0.0,13.9,2.7,6.1,99.0,92.0,4.1,67,66,,18.0,11.5,94 495,77.2,80.1,74.2,0.96,25.0,,51.3,58.8,,
Sudan,SDN,2.5,10.83,2.5,,3.2,,,,,1.7,1.2,58.5,58.5,58.5,0.24,,,51.0,50.0,15.8,0.11,68.07,21.2,0.0,50.1,38.0,143.0,24.8,44,55,52.0,256.0,19.6,12 159 633,67.6,68.9,66.2,2.26,,,,,,
Suriname,SUR,0.7,17.27,13.55,40.4,22.3,4.87,1.35,1.5,57.5,0.1,0.2,60.3,61.7,58.9,0.81,,100.0,72.0,29.0,7.1,0.83,0.0,18.7,5.9,16.2,52.0,50.0,9.9,63,40,,84.0,16.2,369,69.8,72.7,67.0,12.52,0.0,,,,,
Sweden,SWE,7.74,116.65,44.08,2.0,13.8,,,0.0,86.7,0.1,0.2,71.1,71.2,71.0,7.83,22.7,,94.0,3.7,3.0,No data,,7.9,9.6,2.5,92.0,8.0,1.4,≥80 ,90,94.0,4.0,2.1,48,82.7,84.3,81.0,,88.0,,1.9,7.3,35.4,
Switzerland,CHE,4.06,187.6,44.77,1.4,14.0,7.9,0.32,0.0,,0.2,0.1,71.1,71.3,70.9,6.61,25.5,,95.0,5.4,2.5,<0.1,,7.5,9.2,3.9,91.0,10.0,2.8,≥80 ,90,89.0,5.0,2.4,39,83.3,85.1,81.5,,70.0,,4.1,9.8,,
Syrian Arab Republic,SYR,10.22,17.57,15.21,,0.6,,,,,0.7,0.3,62.3,62.8,61.8,16.31,,,66.0,17.0,9.1,<0.01,,21.3,0.1,20.6,64.0,96.0,10.0,64,41,,20.0,29.9,2 971 666,72.4,74.4,70.6,2.74,,,29.4,78.6,,
Tajikistan,TJK,1.5,64.53,18.7,39.2,2.4,9.8,1.4,0.0,52.1,0.2,0.9,63.1,63.6,62.6,2.56,,98.0,96.0,79.0,9.0,<0.1,0.0,18.1,0.7,27.3,96.0,201.0,12.6,67,60,31.0,14.0,13.9,3 375 143,71.8,73.5,70.2,6.17,,,,,3.4,
Thailand,THA,1.13,35.72,5.41,18.0,16.6,2.05,0.33,0.8,87.0,0.3,0.4,65.8,68.1,63.5,2.24,19.2,100.0,92.0,157.0,11.8,0.13,0.67,14.5,7.6,9.2,87.0,46.0,5.2,≥80 ,89,,34.0,25.4,159 310,75.3,79.0,71.8,0.23,8.0,,7.5,33.8,,
Timor-Leste,TLS,0.02,17.38,7.52,41.9,3.6,,,0.0,45.9,0.7,0.3,59.5,60.6,58.6,2.08,38.7,69.0,83.0,498.0,20.4,<0.1,0.0,20.1,0.2,50.0,72.0,187.0,22.2,52,51,56.0,192.0,12.0,438 316,68.0,69.6,66.5,13.09,,,38.1,50.0,,
Togo,TGO,0.02,4.94,0.8,79.0,9.3,13.68,2.99,3.0,39.6,3.3,1.1,55.8,56.8,55.0,0.28,6.4,69.0,85.0,30.0,42.4,0.26,230.33,25.4,1.2,58.3,58.0,226.0,23.1,44,36,85.0,349.0,22.7,4 591 039,63.9,66.4,61.5,7.3,46.0,,,,,
Tonga,TON,1.42,41.99,10.14,30.0,4.7,,,,49.9,0.9,1.3,63.8,64.9,62.7,0.76,31.3,98.0,99.0,8.8,7.1,No data,,26.9,0.3,9.9,99.0,52.0,4.3,57,54,99.0,67.0,8.5,37 131,72.7,75.3,70.2,26.63,30.0,,,,,
Trinidad and Tobago,TTO,2.99,41.08,41.57,,13.3,,,,45.4,0.2,0.1,61.9,63.9,60.0,6.28,,99.0,96.0,21.0,1.6,No data,,20.3,4.8,19.1,91.0,20.0,12.9,75,66,94.0,54.0,5.0,144,71.7,75.2,68.4,,8.0,,,,,0.0
Tunisia,TUN,3.68,21.61,13.15,4.2,1.8,16.74,2.36,0.0,68.7,0.1,0.4,63.6,64.4,62.9,2.42,20.5,98.0,97.0,38.0,3.1,<0.1,,13.0,1.8,12.9,97.0,56.0,8.4,67,78,97.0,36.0,16.3,3619,74.1,76.8,71.5,1.48,,,13.6,19.8,,
Türkiye,TUR,4.87,34.83,22.36,12.2,2.7,4.22,0.67,0.1,60.2,0.1,0.3,65.2,65.9,64.5,4.48,30.5,97.0,99.0,13.0,2.5,No data,,15.4,2.2,12.8,94.0,45.0,4.9,76,75,95.0,15.0,6.5,2,75.3,78.1,72.5,0.48,,1.4,31.4,52.2,,
Turkmenistan,TKM,1.24,34.88,19.3,22.4,6.8,,,0.0,79.6,0.1,0.3,60.8,62.8,58.8,1.39,5.6,100.0,98.0,49.0,5.7,No data,,25.7,3.0,40.0,99.0,89.0,22.8,75,81,99.0,5.0,8.0,72,69.1,72.5,65.7,0.38,99.0,,,,,
Tuvalu,TUV,0.96,39.42,13.46,35.7,,,,0.0,46.2,0.2,,,,,1.92,33.7,100.0,94.0,296.0,,No data,,,0.3,19.9,98.0,,9.0,52,53,98.0,170.0,17.9,3120,,,,48.16,84.0,,,,,
Uganda,UGA,0.11,22.65,1.91,111.4,5.5,15.27,3.77,1.1,61.9,1.0,1.1,57.2,58.9,55.5,0.36,7.5,88.0,91.0,198.0,28.1,0.86,258.39,21.5,6.3,38.8,21.0,165.0,17.9,49,61,91.0,170.0,16.0,21 730 370,66.0,69.0,62.9,6.69,98.0,,,81.8,,
Ukraine,UKR,,60.79,35.31,12.6,21.2,8.32,1.15,0.1,,0.3,2.1,61.6,64.4,58.6,,24.9,,83.0,112.0,2.3,No data,,24.8,7.4,8.1,87.0,78.0,4.7,76,75,,15.0,10.5,3,70.9,75.3,66.3,1.81,,,15.3,54.5,8.0,
United Arab Emirates,ARE,8.85,61.87,29.92,3.0,1.7,0.37,0.04,0.0,,0.0,0.2,67.3,66.8,67.4,15.28,9.0,100.0,96.0,0.8,0.8,No data,0.0,11.6,0.8,5.0,94.0,70.0,2.5,≥80 ,97,94.0,3.0,5.9,72,78.3,80.0,77.2,,39.0,,39.9,52.4,,
United Kingdom,GBR,4.93,95.49,33.01,8.6,9.5,2.36,0.56,0.0,,0.4,0.3,68.6,69.0,68.2,8.97,14.2,,92.0,7.6,6.1,No data,,11.0,10.9,4.5,85.0,13.0,2.7,≥80 ,95,89.0,8.0,2.4,3,80.1,81.9,78.3,,68.0,,8.0,11.4,,
United Republic of Tanzania,TZA,0.12,6.93,1.34,112.3,5.1,4.3,0.82,1.2,54.0,1.0,1.0,58.1,58.3,57.9,0.35,9.3,85.0,93.0,183.0,30.2,0.85,128.42,18.8,5.6,38.9,78.0,130.0,20.6,43,63,92.0,276.0,15.8,36 039 903,66.8,68.4,65.2,4.65,91.0,,59.5,68.7,,0.0
United States of America,USA,6.0,133.76,36.81,13.5,15.6,4.61,0.89,0.2,78.4,0.0,0.5,63.9,65.1,62.8,11.13,24.3,99.0,94.0,3.1,2.3,No data,,13.7,9.8,6.5,95.0,14.0,3.4,≥80 ,84,84.0,17.0,14.2,525,76.4,79.1,73.7,,52.0,,,,,
Uruguay,URY,2.49,73.86,46.74,23.1,24.8,2.11,0.15,0.3,,0.2,0.5,65.0,66.9,63.1,0.65,20.5,100.0,95.0,42.0,4.4,0.24,,17.4,6.2,6.7,90.0,16.0,4.1,≥80 ,76,94.0,15.0,13.0,50,75.0,78.7,71.2,,41.0,,,,,
Uzbekistan,UZB,1.1,110.83,23.1,37.3,8.3,,,0.0,81.0,0.2,0.6,63.4,64.0,62.7,0.51,16.7,99.0,99.0,57.0,2.9,<0.1,,24.6,2.1,13.3,99.0,154.0,7.6,75,73,99.0,26.0,9.3,343 828,72.2,74.1,70.2,1.52,96.0,,,,,
Vanuatu,VUT,0.31,14.59,1.64,,15.7,,,,,2.3,0.5,58.7,60.7,57.0,,,91.0,72.0,41.0,25.0,No data,17.94,36.8,1.9,16.8,21.0,261.0,8.7,47,50,63.0,100.0,12.5,113 055,66.3,69.8,63.4,31.09,41.0,,,,,
Venezuela (Bolivarian Republic of),,1.35,20.03,16.64,76.0,8.6,,,2.5,,0.2,0.4,62.0,65.1,59.2,,,99.0,54.0,45.0,5.2,0.27,9.53,18.7,2.3,24.3,40.0,40.0,15.0,75,75,0.0,227.0,13.2,7 380 372,71.2,75.9,66.9,2.01,,,,,,
Viet Nam,VNM,,14.41,11.07,29.0,7.3,8.46,1.73,,72.0,0.6,0.9,65.4,68.0,62.8,3.37,22.5,98.0,65.0,182.0,6.9,<0.1,0.01,20.1,10.7,20.0,86.0,66.0,10.3,68,56,,48.0,17.7,8 396 566,73.8,78.0,69.7,0.58,,,,,,
Yemen,YEM,0.19,5.41,0.98,77.0,4.2,,,,,1.8,1.6,56.5,57.2,55.7,0.53,21.4,61.0,46.0,48.0,15.6,<0.1,38.86,25.8,0.0,39.3,45.0,190.0,21.4,42,36,45.0,118.0,29.8,9 070 024,65.8,68.6,63.1,2.89,,,93.5,90.4,,
Zambia,ZMB,0.14,29.36,3.24,134.6,7.1,0.28,0.01,2.9,65.9,1.3,1.2,53.0,53.9,51.9,0.71,14.6,94.0,80.0,283.0,35.8,1.2,176.74,23.6,3.6,44.7,75.0,176.0,22.0,56,55,78.0,85.0,17.1,8 176 759,61.0,63.1,58.7,7.29,56.0,,90.0,76.5,,16.7
Zimbabwe,ZWE,0.3,30.71,1.36,86.8,17.3,11.82,7.03,,84.8,2.7,3.5,51.2,52.2,50.2,1.18,11.3,86.0,90.0,211.0,36.2,0.98,49.4,31.2,5.4,44.2,77.0,192.0,22.4,55,55,90.0,358.0,29.9,8 352 700,58.5,60.5,56.2,5.87,24.0,,,,,
