LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Brunei Darussalam,BRN,2.35,66.17,18.86,8.8,3.0,,,0.3,,0.1,0.0,67.1,67.9,66.3,2.1,16.4,100.0,99.0,65.0,1.7,No data,,14.9,0.7,9.4,99.0,20.0,4.9,78,71,,36.0,3.6,1,76.9,78.6,75.3,,83.0,,12.2,15.6,,
Bulgaria,BGR,11.23,42.04,43.28,36.8,9.5,21.28,3.07,1.5,,0.1,0.7,62.4,64.6,60.4,9.28,39.5,94.0,92.0,16.0,2.9,<0.1,,25.6,11.5,6.1,87.0,,2.6,73,74,87.0,6.0,8.4,119,71.3,75.0,68.0,,6.0,,,,,
Burkina Faso,BFA,0.06,9.49,1.48,92.9,8.5,8.37,1.76,1.2,64.3,1.7,1.6,54.6,55.6,53.5,0.39,14.3,96.0,94.0,43.0,60.9,<0.1,353.49,23.4,7.5,77.3,71.0,207.0,24.5,40,37,92.0,242.0,27.8,3 644 443,62.3,64.6,59.9,8.09,97.0,,30.4,91.7,,0.0
Burundi,BDI,0.01,7.94,0.78,58.2,7.7,4.77,0.88,0.7,39.6,1.4,2.3,55.8,56.9,54.8,0.09,11.2,75.0,89.0,94.0,53.3,0.12,245.06,24.8,4.5,49.2,80.0,209.0,19.6,41,35,88.0,392.0,12.3,3 205 933,64.0,65.9,62.0,6.45,,,,,,0.0
Cabo Verde,CPV,0.15,17.98,7.3,49.6,14.9,,,0.5,,0.3,0.3,63.8,66.1,61.3,0.19,11.0,97.0,93.0,47.0,12.1,0.52,0.0,17.2,3.8,11.6,86.0,92.0,8.3,71,60,,40.0,16.5,143 054,73.2,77.4,68.8,2.45,93.0,,,,,
Cambodia,KHM,0.31,10.08,2.11,48.0,4.5,17.86,4.92,0.1,59.5,0.2,0.4,60.6,62.0,59.3,0.46,17.2,99.0,85.0,335.0,17.1,<0.1,0.49,22.6,5.4,22.9,64.0,162.0,11.8,58,64,82.0,137.0,18.8,4 716 388,68.9,71.5,66.4,5.71,91.0,,81.3,73.5,,
Cameroon,CMR,0.12,6.59,1.36,98.0,8.5,,,2.4,44.9,1.8,1.1,54.0,54.6,53.4,0.22,6.5,69.0,75.0,150.0,47.3,No data,258.81,24.3,8.0,67.2,45.0,210.0,25.2,44,44,75.0,258.0,10.6,11 963 613,61.8,63.7,59.9,4.06,66.0,,76.0,96.3,,
Canada,CAN,6.53,112.57,28.19,4.5,9.4,3.5,0.8,0.0,,0.3,0.3,69.8,70.6,68.9,11.42,12.0,98.0,92.0,5.8,2.3,No data,,9.7,10.0,5.1,79.0,8.0,3.4,≥80 ,96,85.0,12.0,4.7,3,81.6,83.8,79.4,,86.0,,21.0,23.4,,
Central African Republic,CAF,0.01,10.97,0.74,184.4,9.2,,,8.0,27.6,3.8,1.4,45.4,47.3,43.8,0.03,,40.0,42.0,540.0,97.0,No data,305.54,30.8,2.1,92.2,,310.0,30.7,32,34,40.0,692.0,25.9,6 999 367,52.3,55.4,49.6,13.68,,,,,,
Chad,TCD,0.01,1.67,0.85,138.5,5.2,9.3,1.4,3.9,17.5,10.8,1.2,51.5,51.9,51.1,0.08,7.4,47.0,67.0,139.0,99.2,0.25,206.54,23.4,3.0,101.1,35.0,242.0,31.4,29,36,,748.0,26.4,8 461 599,59.1,60.7,57.5,5.38,,,,,,
