location,Anxiety_disorders,Attention_deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bipolar_disorder,Conduct_disorder,Depressive_disorders,Eating_disorders,Idiopathic_developmental_intellectual_disability,Mental_disorders,Other_mental_disorders,Schizophrenia
Bosnia and Herzegovina,663.0103727841388,24.743694461925053,121.6483330750214,99.82215189852477,68.78862114125705,499.8707641788409,41.66906917329222,50.461145711490566,1872.6048904848835,111.07775707189218,191.5129809885003
Botswana,556.3540023976593,42.9537757178568,129.39785741413564,97.34127741371172,71.19755853058233,603.852980149766,44.37282554893656,15.51915772910352,1846.790062031156,109.62192888944836,176.1786982399563
Brazil,1142.917918671286,78.20865659910824,103.3952323887041,172.459949852797,68.14394082986453,722.9992564457592,81.07899505739377,25.298857448916262,2690.635035762313,103.32539542602169,192.80683304246435
Brunei Darussalam,462.2966735518265,65.78688085409776,328.50366319586806,99.53658288415856,63.36967013057895,497.2197421685158,97.74291691552706,5.643908327140468,1967.8730582376836,123.07451272850427,224.69850748146615
Bulgaria,494.3072476627148,24.894387189794116,118.39963810962126,88.17209893011925,68.91220682464734,473.46690158157634,47.85189070288627,53.58793199563688,1668.1716723172854,111.6252306656485,186.95413865464184
Burkina Faso,821.8810503384759,38.01129885085409,127.57428589693824,96.67597870100394,68.32610704508399,761.0595168709687,25.11100564171414,14.531626578437274,2244.5319936071023,110.38214940165524,180.97897428196995
Burundi,509.718755642324,51.11533010393395,153.20232406247897,94.6048924031037,70.15310630150027,726.942667377791,17.93727215371255,13.769446523921877,1925.1127147557,111.5524913995584,176.11642878737578
Cabo Verde,795.9628744344848,38.996674565469,136.18047736403832,98.25616715068644,69.84564174247136,589.922397316424,34.98783461353155,13.649598676904557,2086.137707167547,111.6916600780618,196.6443812254741
Cambodia,408.835673213932,25.16936247447223,109.5566940721048,66.74039138643454,50.2262583732832,492.4668507275212,26.170881522509863,41.1579078664298,1518.221853595219,111.16464004769593,186.73319391083643
Cameroon,809.7624887775577,38.6335285274031,125.56010729631632,95.9140939863288,69.20101402393495,679.8911590242533,28.440049368663257,13.04948867781055,2150.554253456532,110.99362587340757,179.1086979008584
Canada,750.7715080370219,73.23349731570815,214.2213161537088,150.95205311963653,56.21868292817,623.3927509600132,99.13691753711392,12.599402694555144,2247.3396730730783,133.03138118822164,133.78216313893046
Central African Republic,820.312358525419,42.43139492616102,119.0548754985391,94.77341908410835,69.77446776016365,1060.3023098747144,18.336707755575866,11.92005711579688,2508.4324965458623,108.4462371459584,163.08066885942495
Chad,838.4499934004645,38.31127566990512,122.17372342163284,95.91381499481128,68.7685821891397,882.5016163670357,24.326652435935195,13.881655730817766,2375.920318172994,111.15407969636811,180.4389242668841
Chile,978.9023079314486,42.76683194175809,186.39775301801828,166.7856482354515,70.12238788639192,916.5830213658408,80.92753158229198,25.835028636325983,2752.784888984845,119.62040026184634,164.84397812547328
China,440.2297087154472,83.44303555391437,102.0867659374087,44.2922254787757,58.26110320736036,545.8500988501742,34.703564152589124,49.45152203489936,1659.271437916483,106.494587943755,194.45882604215805
Colombia,606.2148669086209,41.08059522903972,134.53003757855785,139.2281086045137,74.28552451504835,448.2441270746298,67.25948844216593,20.57302207260977,1851.5793965967664,110.36565370759544,209.79797246398527
Comoros,551.7525236030156,51.73189689142688,157.04899869004151,96.60996133342236,71.33108889467789,777.9887635274794,26.139413889825462,12.853159596044542,2049.424636808119,112.13392965766892,191.83490072451664
Congo,669.9743834742548,42.66760842827016,129.61080747433087,96.70550816940694,70.25799458898021,1032.1684841018885,30.96304390847749,15.971789676436968,2372.675010177661,109.9537251725973,174.40166518301953
Cook Islands,494.1143468471751,37.12844029381796,118.91877488383516,81.17611708325909,57.780730017982194,570.6165595700843,49.03899278308625,25.60791569382824,1752.9670118139925,111.11487708067388,207.47025756025104
Costa Rica,612.1103259375577,47.62691868549736,136.82444655790593,158.25479698550947,72.93853267861526,616.8907890959078,76.46239860370295,21.002422156928432,2069.116107517532,110.64027163542627,216.3652051804794
Croatia,782.9557107714829,24.75116920343395,127.49923291055325,100.37147234608068,68.81264697153382,382.4616927845706,52.07245992942263,52.07544670030598,1894.825672280784,111.1617009263384,192.66413973706125
Cuba,808.4928157776789,108.0334100376219,110.76946813189684,157.73821754212716,69.92232813074895,672.3022926918404,66.06390424221418,21.37317526476756,2338.223552007468,111.73889098897784,211.789049199593
Cyprus,1188.6723524877764,49.61097918436201,160.44854216228077,135.16546529090047,73.49712758436301,540.2509061881553,118.03111866833584,26.89788049312639,2590.5908548554694,120.49581857012292,177.52066422604614
Czechia,570.7870708177119,24.709807098557647,125.44004803736054,99.72764880854852,68.85721328012572,593.9615452120054,57.36605624238926,51.602779935956285,1896.7166180724464,111.26086662669564,193.00358201309555
Côte d'Ivoire,807.8136105827186,39.08125918075854,131.0535560891382,95.95069445222772,69.72582832840138,620.2720710267713,30.723934641079232,12.650307429181392,2099.3963749069367,112.55258349626428,179.57252968039433
Democratic People's Republic of Korea,415.19794751631895,54.28089920652266,98.78256606433789,47.7610650553844,53.87367017503562,574.7797516779995,23.66973720352205,31.75607652335121,1613.2063786121855,111.5724329424892,201.5322322472254
Democratic Republic of the Congo,571.1565889656598,43.12943373723152,130.68195965296206,96.77906071055776,70.69113344948342,1071.5526982330457,18.883709858639147,12.02102395974441,2300.470676700444,109.85061597834834,175.7244521547718
Denmark,809.3781471362735,52.65399156873488,170.4162953796715,140.10673151140318,73.26683443282772,600.0489733555663,115.37821624571608,27.269967736554484,2267.59906684969,120.75238598057118,158.3275235023742
Djibouti,464.3358368344186,53.363662734386686,156.93064533328834,96.12773324072698,72.79876033444941,708.9996402446355,30.92909273817964,12.248904360836685,1897.537317674586,114.01493777038648,187.788104083277
Dominica,724.0035113633678,107.89875726851912,114.6525614015506,155.67396734238426,69.74884160628841,638.492515543556,70.34171967570258,21.44000083211021,2220.516520052906,111.71220012068862,206.55244489873735
Dominican Republic,820.6536144561178,106.04445469740376,104.20190632236394,154.21372244633838,68.89006592061865,804.5366566686083,81.932816359145,20.952640138435164,2472.985834757161,110.88726512513256,200.6726926229975
Ecuador,843.5028154452509,73.28758306632055,118.46207779585532,155.67468578818148,70.70167218663973,617.0222939984654,96.93723823859916,25.637151623220078,2258.1193758353493,110.67539789818429,146.21845979463075
Egypt,608.10959831515,70.50965184911487,116.2183909622512,131.65508208722915,53.59455105615417,893.5015929943027,51.487456233873736,35.234437834478626,2273.886547482666,111.44748147322096,202.1283046768876
El Salvador,616.394004014361,47.185031431510666,126.7347659621882,157.43610974015385,73.49340810405471,561.682761372525,62.80546176973367,20.521193851405943,1974.0345799516265,108.06549356779377,199.71635013790043
Equatorial Guinea,673.5307222304091,44.98860928601186,132.60389253478235,96.75157630926203,73.65742841366858,917.2654696421832,47.69014598442062,9.692304630667945,2285.668955918601,109.86577718379296,179.62302970340292
Eritrea,494.2986644480502,52.06148049600345,154.10300951617535,95.21639759558788,71.21939937874374,682.5696345348256,22.35791995182139,16.2196057578371,1876.173765630091,111.1622395549416,176.96541439610567
Estonia,457.2357592810485,24.818278957659032,147.90466223143616,103.62319168099,69.1819282278332,535.3445900115358,54.36658544385533,47.2796756355328,1703.6519397886725,111.17254519772152,152.7247231210596
Eswatini,556.6147976497294,42.9795174474579,121.77004770675548,95.66718493964537,71.36211033763695,758.2834382399352,37.32341353931996,15.5729520609411,1976.6553175274703,108.2509504843908,168.83090512165694
Ethiopia,462.1847671395639,52.01332897994537,157.25768022574303,93.48048959040388,77.02167350060947,984.4094942692584,25.143629017578164,12.939899293125704,2153.159670259535,105.19040707206958,183.5183011712365
Fiji,496.4337961937436,37.47056682495062,109.29972263610868,81.63927339023199,57.41772778398519,512.9342979315583,37.06331706279619,27.589813398644683,1671.349718902989,111.3316421814931,200.16956149947677
Finland,550.1932634842262,63.81094813443344,164.04765513166524,135.44431694624333,73.00200608768178,505.19475283134506,127.93547843515366,18.73123424225181,1993.5314930459808,120.52180992241236,234.65002783056772
France,961.8520897934824,65.66979585905578,160.59159432277224,145.75652965327967,74.84431027035211,695.7745507507581,113.42309884141628,26.26507312069358,2540.3178856912914,119.3295940832086,176.81124899627164
Gabon,688.8436547877236,42.18992010496164,130.17916595941116,96.41134802365904,69.8043912697106,1014.2304394711524,45.01116009166179,9.707574627264286,2386.215806626195,109.42833185192676,180.40982043872523
Gambia,810.6489385542449,38.35049846527144,127.482754382878,96.77736077494856,68.75660040933005,606.0638146259956,25.58950722214761,11.288347422591936,2078.288766106094,110.78713058006473,182.54381366862276
Georgia,417.2278965135324,24.86316387879426,118.06579099139184,102.66887930277927,69.45762967183317,715.7633949068187,40.66019213471651,58.06656649665735,1842.3951266544568,110.37867360487112,185.2429391530628
Germany,664.3242726980491,16.80353181076473,169.00029807164697,122.98459031011856,73.40581254008416,798.6495535304052,93.32539272937002,26.45134406749964,2269.27108898079,120.61269399334888,183.713599229502
Ghana,587.6287575238737,38.58965617819659,134.3067841140895,96.86047443210536,69.34752702195244,875.9542239384677,32.7120598874257,11.486475379477286,2141.565511566582,110.51528094549462,184.1642721454985
Greece,1047.6115870143,49.51583112447339,166.31870340981484,134.63096984455217,73.17599842549848,937.7931072691146,100.534977007951,23.38139826328794,2828.5983602593337,120.37602353657148,175.25976436376808
Greenland,824.8723912369238,72.5324985218758,183.26546358857465,125.78886881773738,61.03114847210964,846.2741996907537,92.01594714881364,26.292156814273252,2605.4921905535084,135.0489436306102,238.37057263183695
Grenada,744.5136183172747,108.24533048640166,109.57536291501675,154.73607353743876,69.81675306136144,656.8299889799704,76.27953493562633,22.557361242441257,2255.788648337231,111.4739522805936,201.7606725811084
Guam,490.4428308378019,37.823642434330274,117.24213624261066,81.70129822204711,57.872784080766735,574.8366833998508,50.982951951398064,25.681028380602854,1761.8140293573906,113.30446530311048,211.92620850487108
Guatemala,637.4990448948909,47.09679544414513,129.50241332748942,153.9449922884787,72.62935262916079,779.47223087719,61.626105570297824,22.62803873131568,2205.055552957938,108.2485531503304,192.40802604463963
Guinea,911.7591469639052,38.05702326250259,123.69350098522293,96.19779486272232,68.87367813414801,646.3668842077496,25.557545261354782,11.141149318471845,2213.981079032333,110.2179487636618,182.11640727259416
Guinea-Bissau,771.691194615794,38.25075434927116,123.02642893036656,95.73069366232896,68.88633137112556,577.6483260920102,23.400059298462853,11.74393169211233,1994.848350887882,109.84168534955134,174.62894552686063
Guyana,729.41119799627,106.24387599563244,102.25234858687472,152.45180022813324,68.85685402948259,659.3738194546127,79.17582251409979,23.099133686404365,2223.718065272998,110.18539536880778,192.66781741267923
