LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Colombia,COL,6.8,15.72,11.6,74.5,6.5,8.68,5.0,59.0,67.25948844216593,1851.5793965967664,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7919.20886825345
Comoros,COM,3.9,4.74,17.4,67.5,22.5,0.38,6.0,179.0,26.139413889825462,2049.424636808119,1329.37048235986,1365.48403444497,1423.9248027797,1527.40527125285,1510.23218151592,1519.34665556206,1554.97289190153,1465.479642862,1560.27378476855,1662.75663312504
Congo,COG,5.3,3.53,16.3,63.2,17.7,0.02,6.7,241.0,30.96304390847749,2372.675010177661,2439.35189403696,2093.10728558843,2211.63309874797,2694.43413191427,2488.42466724916,1993.586671931,2516.16255145432,2620.83804267402,2477.97845544866,2482.2489948456
Costa Rica,CRI,7.9,25.82,10.6,78.6,7.2,10.89,8.1,24.0,76.46239860370295,2069.116107517532,11714.7105980732,12091.0301606154,12317.0902771304,12590.2493781614,12884.6859951989,12394.0493969492,12838.1185358931,13625.9008491328,16942.0268119375,18587.1532203482
Côte d'Ivoire,CIV,3.5,6.21,20.3,63.5,28.2,0.14,7.4,359.0,30.723934641079232,2099.3963749069367,1814.71855088017,1862.59597081287,1964.29930338343,2130.86619381144,2141.76836170115,2179.72934832935,2455.98127641148,2333.37128301259,2591.9659048119,2727.8935220697
Croatia,HRV,,13.73,,76.9,2.8,9.46,15.7,3.0,52.07245992942263,1894.825672280784,12283.7840620053,12820.1653893008,13901.7878144679,15460.3669595491,15563.5987295029,14807.5608543265,17788.7865816658,18465.5414420364,22184.2279304842,24050.4397933135
Cuba,CUB,10.6,21.04,7.3,73.7,4.2,18.42,13.8,35.0,66.06390424221418,2338.223552007468,7727.91997207998,8110.55874283616,8610.60829605429,8911.46205998726,9232.26115935183,9605.27914559614,,,,
Cyprus,CYP,,18.31,,81.9,1.9,8.19,3.0,14.0,118.03111866833584,2590.5908548554694,23088.44140625,24280.056640625,26247.44921875,29120.375,29227.173828125,28130.341796875,32937.83984375,33231.04296875,36623.69140625,38674.29296875
Czechia,CZE,6.6,16.73,2.4,77.1,1.3,7.39,13.3,3.0,57.36605624238926,1896.7166180724464,17931.5987670768,18753.9686718096,20913.197632212,23705.9329811299,24062.7190013343,23472.8915454417,27696.4619527544,28282.2236715857,31761.5944102491,31823.3078290564
Democratic People's Republic of Korea,PRK,3.3,,16.6,72.6,9.6,2.17,9.3,67.0,23.66973720352205,1613.2063786121855,,,,,,,,,,
Democratic Republic of the Congo,COD,4.2,3.98,44.1,61.6,25.3,0.04,8.8,427.0,18.883709858639147,2300.470676700444,495.826633014883,459.765036590388,431.052559128788,518.169626875371,504.00419142286,486.425572682256,595.743074403567,687.738587554685,660.21205238997,649.383338556725
Denmark,DNK,,17.69,,81.2,1.8,7.18,10.5,4.0,115.37821624571608,2267.59906684969,53094.0133607574,54500.9260410217,57521.5514992225,61324.7665045565,59404.2663247723,60985.4885601514,69340.7334922138,67781.0940939514,68043.5466971243,71026.4832271897
